Nom de la commune;Code commune;Salaire_2022;Salaire_2023;Salaire_evol
Sèvres;92072;3 470;3 398;-0,021
Montereau-Fault-Yonne;77305;2 352;2 566;0,091
Achères;78005;2 494;2 481;-0,005
Le Petit-Quevilly;76498;2 277;2 349;0,032
Arcueil;94003;3 705;3 779;0,02
Épernay;51230;2 667;3 003;0,126
Gujan-Mestras;33199;2 021;2 080;0,029
Dax;40088;2 182;2 280;0,045
Millau;12145;2 047;2 127;0,039
Fontaine;38169;2 454;2 514;0,024
Chemillé-en-Anjou;49092;2 148;2 226;0,036
Longjumeau;91345;2 594;2 698;0,04
Neuilly-Plaisance;93049;2 620;2 735;0,044
Hazebrouck;59295;2 007;2 089;0,041
Nogent-sur-Oise;60463;2 247;2 353;0,047
Voiron;38563;2 222;2 290;0,031
Fleury-les-Aubrais;45147;2 631;2 726;0,036
La Madeleine;59368;2 832;2 981;0,053
Saint-Michel-sur-Orge;91570;2 445;2 582;0,056
Montmorency;95428;2 541;2 637;0,038
Montigny-lès-Metz;57480;2 434;2 623;0,078
Sainte-Foy-lès-Lyon;69202;2 427;2 506;0,033
Morsang-sur-Orge;91434;2 076;2 140;0,031
Mandelieu-la-Napoule;06079;2 382;2 467;0,036
Gardanne;13041;2 443;2 514;0,029
Le Robert;972222;;;
Lagny-sur-Marne;77243;2 319;2 390;0,031
Allauch;13002;2 383;2 420;0,016
Bruay-la-Buissière;62178;1 919;2 008;0,046
Givors;69091;2 286;2 380;0,041
Saint-Gratien;95555;2 395;2 440;0,019
Saint-Cyr-l'École;78545;2 435;2 596;0,066
Ozoir-la-Ferrière;77350;2 426;2 495;0,028
Saint-Genis-Laval;69204;2 371;2 541;0,072
Montaigu-Vendée;85146;2 273;2 361;0,039
Le Plessis-Trévise;94059;2 257;2 338;0,036
Mons-en-Barœul;59410;2 881;2 934;0,018
Plaisance-du-Touch;31424;2 141;2 222;0,038
Saint-Mandé;94067;3 409;3 501;0,027
Bourg-la-Reine;92014;2 508;2 581;0,029
Villeneuve-le-Roi;94077;2 600;2 713;0,043
Carquefou;44026;2 643;2 736;0,035
Sceaux;92071;2 487;2 638;0,061
Concarneau;29039;2 169;2 291;0,056
Chaumont;52121;2 146;2 226;0,037
Lingolsheim;67267;2 636;2 679;0,016
Carrières-sous-Poissy;78123;2 881;3 099;0,076
Coudekerque-Branche;59155;2 046;2 166;0,059
Wasquehal;59646;2 707;2 808;0,037
Halluin;59279;2 234;2 306;0,032
La Chapelle-sur-Erdre;44035;2 841;2 987;0,051
Denain;59172;1 917;2 001;0,044
Cugnaux;31157;2 346;2 472;0,054
Maurepas;78383;2 716;2 860;0,053
Chaville;92022;2 493;2 592;0,04
Croix;59163;3 053;3 091;0,012
Bouguenais;44020;2 995;2 907;-0,029
Joinville-le-Pont;94042;2 637;2 698;0,023
Le Creusot;71153;2 531;2 600;0,027
Forbach;57227;2 119;2 211;0,043
La Celle-Saint-Cloud;78126;2 434;2 510;0,031
Mitry-Mory;77294;2 476;2 564;0,036
Chilly-Mazarin;91161;3 128;3 233;0,034
Beaune;21054;2 319;2 407;0,038
Lannion;22113;2 643;2 698;0,021
Fougères;35115;2 130;2 209;0,037
L' Isle-sur-la-Sorgue;84054;2 112;2 182;0,033
Grande-Synthe;59271;2 723;2 843;0,044
Mont-Saint-Aignan;76451;2 753;2 842;0,032
Sarreguemines;57631;2 297;2 407;0,048
Cahors;46042;2 133;2 193;0,028
Bruges;33075;2 586;2 766;0,07
